scheme_key,scheme_label,side,component_label,size_bytes,count,source_note
Cui2019_ECPP,Cui et al. [25],vehicle,vehicle-side online payload reported in manuscript accounting,180,1,Protocol-level side payload used in the revised manuscript table
Cui2019_ECPP,Cui et al. [25],rsu,RSU-side online payload reported in manuscript accounting,264,1,Protocol-level side payload used in the revised manuscript table
Cui2019_ECPP,Cui et al. [25],ta_chain,TA/Chain-side online payload reported in manuscript accounting,244,1,Protocol-level side payload used in the revised manuscript table
Dabra2024_SL3PAKE,Dabra et al. [17],vehicle,vehicle-side online payload reported in manuscript accounting,432,1,Protocol-level side payload used in the revised manuscript table
Dabra2024_SL3PAKE,Dabra et al. [17],rsu,RSU-side online payload reported in manuscript accounting,2128,1,Protocol-level side payload used in the revised manuscript table
Dabra2024_SL3PAKE,Dabra et al. [17],ta_chain,TA/Chain-side online payload reported in manuscript accounting,1280,1,Protocol-level side payload used in the revised manuscript table
Cui2025_VDT,Cui et al. [33],vehicle,vehicle-side online payload reported in manuscript accounting,820,1,Protocol-level side payload used in the revised manuscript table
Cui2025_VDT,Cui et al. [33],rsu,RSU-side online payload reported in manuscript accounting,1712,1,Protocol-level side payload used in the revised manuscript table
Cui2025_VDT,Cui et al. [33],ta_chain,TA/Chain-side online payload reported in manuscript accounting,68,1,Protocol-level side payload used in the revised manuscript table
Yan2025_BCL3AKA,Yan et al. [35],vehicle,vehicle-side online payload reported in manuscript accounting,1712,1,Protocol-level side payload used in the revised manuscript table
Yan2025_BCL3AKA,Yan et al. [35],rsu,RSU-side online payload reported in manuscript accounting,2800,1,Protocol-level side payload used in the revised manuscript table
Yan2025_BCL3AKA,Yan et al. [35],ta_chain,TA/Chain-side online payload reported in manuscript accounting,160,1,Protocol-level side payload used in the revised manuscript table
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,TID_intra,48,1,First vehicle request contains TID_i
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,ring_element_Rq,384,1,First vehicle request contains p_i
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,hash_digest,32,1,First vehicle request contains h_i
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,timestamp,4,2,Vehicle sends t_i^(1) and t_i^(2)
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,encrypted_public_credential_payload,1564,1,Final vehicle response contains C_i under the adopted communication accounting
cpq_intra_aka,CPQ-V2X (Intra-AKA),vehicle,proof_vector_tau,768,1,Final vehicle response contains tau_i
cpq_intra_aka,CPQ-V2X (Intra-AKA),rsu,ring_element_Rq,384,2,RSU response contains p_j and e_p
cpq_intra_aka,CPQ-V2X (Intra-AKA),rsu,reconciliation_hint,32,1,RSU response contains w_j
cpq_intra_aka,CPQ-V2X (Intra-AKA),rsu,proof_vector_tau,768,1,RSU response contains tau_j
